m2,ambientes,barrio,usd_m2,precio_usd
49.0,2,VILLA URQUIZA,2722,132500
96.0,3,FLORES NORTE,1615,155000
45.0,2,VILLA URQUIZA,3111,140000
57.0,2,BALVANERA,2105,120000
33.0,1,COLEGIALES,3485,115000
41.0,2,COLEGIALES,3602,147683
69.0,3,COLEGIALES,3629,250405
70.0,2,BELGRANO,3000,210000
49.0,2,VILLA URQUIZA,2388,117000
55.0,2,BELGRANO,4273,235000
82.0,3,ALMAGRO,6061,498380
86.0,3,COLEGIALES,4070,350000
43.0,2,PALERMO,2279,98000
57.0,3,VILLA URQUIZA,2018,115000
75.0,3,FLORES NORTE,2333,175000
54.0,2,RECOLETA,3259,176000
44.0,1,RECOLETA,3250,143000
54.0,2,VILLA URQUIZA,3178,143000
107.0,4,CABALLITO,2243,240000
89.0,4,PALERMO,2977,259000
30.0,1,BELGRANO,3577,93000
71.0,3,ALMAGRO,2368,168100
101.0,4,VILLA CRESPO,1634,165000
80.0,3,FLORES NORTE,1738,139000
35.0,1,VILLA CRESPO,2800,98000
37.0,2,RECOLETA,3649,135000
99.0,4,COLEGIALES,4950,490000
42.0,2,VILLA URQUIZA,3214,135000
71.0,2,VILLA URQUIZA,2696,191405
